rank,id,name,artists,artists_str,album_name,album_id,duration,duration_ms,popularity,mvid,fee,status,track_number,version,copyright,publishTime
79,2680707481,BONITO ROUBO,"['Scythermane', 'DJ LYVIXRA', 'Hugomasked']",Scythermane / DJ LYVIXRA / Hugomasked,BONITO ROUBO,264602509,01:37,97961,100.0,0,8,0,1,37,1,1741190400000
80,2729421498,Dethrone,['胡彦斌'],胡彦斌,无间渡,279439892,04:01,241497,5.0,0,8,0,2,38,0,1754064000000
81,466343434,Passionfruit,['Drake'],Drake,More Life,35241868,04:58,298890,100.0,5570612,8,0,3,80,1,1489766400000
82,2732266121,BUCK (feat. Diljit Dosanjh) (Live),"['严浩翔', 'Rapeter']",严浩翔 / Rapeter,新说唱2025 第九期,279772390,02:44,164010,5.0,0,8,0,5,38,0,0
83,2664031102,World Out There,['少少甜'],少少甜,World Out There,259065345,02:21,141288,70.0,0,8,0,1,39,0,0
84,2718601505,念念旧爱,['鱼蛋'],鱼蛋,念念旧爱,276073114,03:50,230495,100.0,0,1,0,1,38,0,1750608000000
85,2731058133,盲盒,"['Vicky宣宣', 'Bo Peep']",Vicky宣宣 / Bo Peep,盲盒,279923521,02:27,147500,100.0,0,8,0,1,38,0,0
86,2729695401,薑花(姜花),"['林震Linz', '初音ミク']",林震Linz / 初音ミク,薑花(姜花),279532976,01:31,91000,90.0,0,0,0,1,37,0,0
87,2731947861,拉黑,['小恶魔'],小恶魔,拉黑,280044702,02:29,149833,65.0,0,8,0,1,39,0,0
88,2720328413,The Paradox,['Lorien'],Lorien,The Paradox（那刻夏原创同人曲）,276557585,03:15,195900,90.0,0,0,0,1,37,0,0
89,2732280845,河西·湘里别,"['功夫胖KungFuPen', 'AFexx']",功夫胖KungFuPen / AFexx,河西·湘里别,280206086,03:00,180051,5.0,0,8,0,1,37,0,0
90,2731370686,重生之大侠的爱恋,"['DL.小任好困', '造梦师DreamMaker']",DL.小任好困 / 造梦师DreamMaker,重生之大侠的爱恋,280033911,03:01,181090,5.0,0,8,0,1,38,0,0
91,2730019870,山鹰,"['菜园子不CAi', '妞妞合唱团']",菜园子不CAi / 妞妞合唱团,山鹰,279610604,03:39,219279,75.0,0,8,0,1,37,0,0
92,2726968723,红金鱼,['张予曦'],张予曦,《深情眼》影视原声带,278709175,03:12,192857,100.0,0,8,0,4,38,0,1753027200000
93,1417892376,虫儿飞,['贝乐虎儿歌'],贝乐虎儿歌,贝乐虎儿歌,85098239,01:42,102346,100.0,0,8,0,22,41,1,1460736000000
94,2731002026,你那边天气好不好 你好不好,['恋愛幸运星'],恋愛幸运星,你那边天气好不好 你好不好,279808117,02:07,127800,90.0,0,8,0,1,38,0,0
95,2624833189,Heart's On Fire (Feat. Ashley Alisha),['陈浩东'],陈浩东,Heart's On Fire,247152571,02:55,175700,35.0,0,8,0,1,45,0,0
96,2716139531,法修散打(甜妹DJ),['DJ小小凡'],DJ小小凡,法修散打,275337607,01:35,95013,100.0,0,1,0,1,39,1,1750003200000
97,1417892372,蜗牛与黄鹂鸟,['贝乐虎儿歌'],贝乐虎儿歌,贝乐虎儿歌,85098239,01:44,104800,100.0,0,8,0,18,42,1,1460736000000
98,2732519286,困在雨季,['UM'],UM,困在雨季,280212765,02:14,134232,5.0,0,8,0,1,39,0,0
99,1939762974,Time Leaper,['Hinkik'],Hinkik,Time Leaper,143716481,04:00,240000,90.0,0,1,0,1,44,1,1462723200000
100,2091166544,Living In Da Pain,['Young Cash Jason'],Young Cash Jason,Living In Da Pain,176863609,02:50,170046,95.0,0,8,0,1,41,0,0
